srcNodeId,dstNodeId,amount,delay
11,2,1000.0,18.07
20,4,1000.0,9.97970115989676
10,20,500.0,21.59925652685014
20,2,500.0,17.34
4,20,1000.0,10.121964357281566
20,3,1000.0,8.7
2,11,100.0,18.07
2,20,1000.0,17.34
11,1,100.0,14.927509782664632
11,8,100.0,20.82138646268984
10,11,50.0,26.538186562981117
11,3,1000.0,13.211450216241085
1,11,500.0,15.033912599114899
3,20,100.0,8.7
20,9,100.0,23.220206540268187
20,5,100.0,17.910599240818115
1,20,1000.0,10.348228980534765
7,20,500.0,14.076234506472384
3,11,100.0,13.876024314404445
5,11,50.0,22.757258315743037
6,20,50.0,19.01311211832077
11,4,50.0,15.298713510924202
5,20,50.0,17.683965548866233
