srcNodeId,dstNodeId,amount,delay
19,16,500.0,77.16928730698721
24,5,50.0,229.6326294010432
5,16,50.0,146.6630217091345
9,15,100.0,98.66107471822659
17,4,1000.0,187.97796066952228
21,24,50.0,160.23266379324986
23,16,50.0,77.35865902597271
16,10,1000.0,125.73717896679014
15,14,50.0,98.939654134394
11,5,1000.0,172.2990389893812
2,9,50.0,145.94367177106562
5,20,1000.0,251.48628470490985
9,22,1000.0,125.1536739368238
7,21,1000.0,249.04261340172445
14,16,500.0,100.84912766548359
12,25,1000.0,135.2457464781732
23,12,500.0,114.19907012353995
7,9,100.0,126.84243531852404
19,20,1000.0,65.37436379710068
3,20,1000.0,190.55618809340137
24,1,1000.0,216.4117955482185
21,19,1000.0,107.27292797533991
25,22,50.0,128.58524398138155
4,22,500.0,174.161163200357
14,22,500.0,83.8634687748523
23,20,1000.0,83.73809314406034
5,17,1000.0,206.666307865281
23,2,500.0,221.49437547918274
4,25,50.0,232.87279450799372
19,11,500.0,166.4478775327093
18,14,1000.0,213.09701810946706
20,24,500.0,91.33
22,10,100.0,151.67378154855427
7,1,1000.0,7.42
4,13,100.0,106.2214772059834
21,25,100.0,113.6806845651694
5,2,500.0,59.764083692899106
21,10,500.0,264.99174111558636
8,12,100.0,148.96213868105798
15,24,100.0,189.31380727370245
19,25,50.0,65.77499209728155
3,7,1000.0,63.305252470832066
7,6,100.0,57.3501038950337
4,2,1000.0,92.84740509452493
14,12,500.0,33.29
20,9,500.0,211.756646968692
10,11,500.0,190.4429057352532
17,6,1000.0,239.86241961153266
6,7,100.0,64.45182314574518
9,5,50.0,55.147123498110176
23,4,500.0,177.17394754776328
21,18,100.0,88.67138600466438
19,23,1000.0,57.67478784347242
22,13,100.0,172.63569077701385
25,2,50.0,241.44719613970832
7,24,500.0,209.6953415493067
2,16,500.0,147.77072963696406
9,4,100.0,67.97823947675785
7,5,1000.0,35.25724509509083
9,11,500.0,88.28524297087702
2,3,100.0,73.99809976872287
15,3,500.0,140.8193255723921
9,25,500.0,204.90888523708458
3,9,1000.0,66.84512095486753
20,22,50.0,119.43434046132492
13,17,1000.0,97.966078471804
25,14,100.0,122.88104093423777
10,19,500.0,148.6498567914852
4,17,100.0,181.1927096037518
14,15,1000.0,86.40663753150031
16,7,100.0,134.47806966362018
25,13,500.0,95.8038997696603
7,23,50.0,197.5242427524525
25,16,500.0,108.57136242508845
25,8,50.0,252.1691758281112
21,16,1000.0,203.19042842354185
1,9,50.0,73.9916815749538
4,1,1000.0,51.831873483716535
24,9,100.0,163.8606928964471
13,23,1000.0,121.77828405603783
18,2,1000.0,224.08287526613287
2,14,500.0,136.98993227856695
6,12,100.0,82.9490691063381
15,19,500.0,227.33608656761982
7,14,100.0,113.41056044995076
